"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
3,329847674E0;-1,398999989E-2;9,906999767E-3;-2,971900068E-2
3,339533597E0;-3,090300038E-2;2,494099922E-2;-3,672299907E-2
3,349220400E0;-3,090300038E-2;2,494099922E-2;-3,672299907E-2
3,358907938E0;-7,000000216E-3;1,696800068E-2;-3,171600029E-2
3,368594530E0;-7,000000216E-3;1,696800068E-2;-3,171600029E-2
3,378280530E0;-1,391100045E-2;1,501599979E-2;-2,271999978E-2
3,387967299E0;-1,391100045E-2;1,501599979E-2;-2,271999978E-2
3,397654829E0;-2,104300074E-2;2,706299908E-2;-3,171199933E-2
3,407341511E0;-2,104300074E-2;2,706299908E-2;-3,171199933E-2
3,417027434E0;-2,416599914E-2;2,710800059E-2;-4,370399937E-2
3,426714160E0;-2,416599914E-2;2,710800059E-2;-4,370399937E-2
3,436401699E0;-1,428100001E-2;1,514299959E-2;-3,469699994E-2
3,446088410E0;-1,428100001E-2;1,514299959E-2;-3,469699994E-2
3,455774333E0;-1,419799961E-2;2,918899991E-2;-3,669999912E-2
3,465461121E0;-1,419799961E-2;2,918899991E-2;-3,669999912E-2
3,475148583E0;-2,133700065E-2;2,020899951E-2;-2,469200082E-2
3,484835352E0;-2,133700065E-2;2,020899951E-2;-2,469200082E-2
3,494521275E0;-9,469999932E-3;2,223199978E-2;-3,168400005E-2
3,504208007E0;-9,469999932E-3;2,223199978E-2;-3,168400005E-2
3,513895545E0;-1,440699957E-2;2,926399931E-2;-3,868599981E-2
3,523582232E0;-1,440699957E-2;2,926399931E-2;-3,868599981E-2
3,533268241E0;-1,934899949E-2;2,228200063E-2;-2,968900092E-2
3,542954934E0;-1,934899949E-2;2,228200063E-2;-2,968900092E-2
3,552642458E0;-1,449900027E-2;3,429000080E-2;-3,867999837E-2
3,562329151E0;-1,449900027E-2;3,429000080E-2;-3,867999837E-2
3,572015132E0;-1,449900027E-2;3,429000080E-2;-3,867999837E-2
3,581701824E0;-2,184499986E-2;2,544200048E-2;-2,465699986E-2
3,591389367E0;-2,184499986E-2;2,544200048E-2;-2,465699986E-2
3,601076137E0;-2,177100070E-2;2,919900045E-2;-3,466799855E-2
